%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
122.0, 32929.46164959212, 21438.295714652028, -187500.02235174447, -187500.02235174447, 187500.0, -39483.127234354884, -187500.02235174447, -187500.02235174447, 0.02, 0.8, -0.496, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027823144357E9, 0.0, 2025-05-17 10:26:22.314
130.0, 32981.02712405052, 21420.637836532336, -187500.02235174447, -187500.02235174447, 187500.0, -39474.1641848283, -187500.02235174447, -187500.02235174447, 0.02, 0.8, -0.496, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027825395553E9, 0.0, 2025-05-17 10:26:22.539
131.0, 32946.33721665588, 21349.738103120104, -187500.02235174447, -187500.02235174447, 187500.0, -39614.287270818626, -187500.02235174447, -187500.02235174447, 0.02, 0.8, -0.496, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027825717292E9, 0.0, 2025-05-17 10:26:22.571
133.0, 32453.36949269408, 21496.20908453573, -187500.02235174447, -187500.02235174447, 187500.0, -39269.91394399571, -187500.02235174447, -187500.02235174447, 0.02, 0.8, -0.496, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027826842694E9, 0.0, 2025-05-17 10:26:22.684
167.0, 32587.524662914835, 21458.077008494976, -187500.02235174447, -187500.02235174447, 187500.0, -39468.308027781015, -187500.02235174447, -187500.02235174447, 0.082, 0.746, -0.59, 192.0, 2.0, 144.0, 23.0, 80.0, 237.0, 144.0, 0.0, 0.0, 0.0, 1.7475027827646735E9, 0.0, 2025-05-17 10:26:22.764
135.0, 33000.58490044891, 21330.9849895221, -187500.02235174447, -187500.02235174447, 187500.0, -39594.81890139805, -187500.02235174447, -187500.02235174447, 0.082, 0.746, -0.59, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027827968447E9, 0.0, 2025-05-17 10:26:22.796
215.0, 32922.24203613306, 21329.01803601003, -187500.02235174447, -187500.02235174447, 187500.0, -40221.42770545813, -187500.02235174447, -187500.02235174447, 0.082, 0.746, -0.59, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747502782893371E9, 0.0, 2025-05-17 10:26:22.893
24.0, 32871.57063145288, 21359.684629402713, -187500.02235174447, -187500.02235174447, 187500.0, -39905.32933537118, -187500.02235174447, -187500.02235174447, 0.082, 0.746, -0.59, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027829255075E9, 0.0, 2025-05-17 10:26:22.925
25.0, 32819.75928780547, 21200.540208880928, -187500.02235174447, -187500.02235174447, 187500.0, -40096.14617778613, -187500.02235174447, -187500.02235174447, 0.082, 0.746, -0.59, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027829837337E9, 0.0, 2025-05-17 10:26:22.983
26.0, 32592.12912227263, 21261.806340432926, -187500.02235174447, -187500.02235174447, 187500.0, -40003.185272596515, -187500.02235174447, -187500.02235174447, 0.082, 0.746, -0.59, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74750278298377E9, 0.0, 2025-05-17 10:26:22.983
26.0, 32592.12912227263, 21261.806340432926, -187500.02235174447, -187500.02235174447, 187500.0, -40003.185272596515, -187500.02235174447, -187500.02235174447, 0.082, 0.746, -0.59, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027830068843E9, 0.0, 2025-05-17 10:26:23.006
